"gene_id","module_name","module_color"
"ASV_2316","module_5","green"
"ASV_1774","module_7","black"
"ASV_1914","module_6","red"
"ASV_2213","module_5","green"
"ASV_2357","module_4","yellow"
"ASV_2379","module_0","grey"
"ASV_1850","module_0","grey"
"ASV_1894","module_0","grey"
"ASV_1920","module_0","grey"
"ASV_2092","module_8","pink"
"ASV_2278","module_2","blue"
"ASV_2307","module_2","blue"
"ASV_1837","module_0","grey"
"ASV_1883","module_5","green"
"ASV_1945","module_0","grey"
"ASV_2398","module_8","pink"
"ASV_1879","module_0","grey"
"ASV_1789","module_0","grey"
"ASV_2038","module_0","grey"
"ASV_2341","module_7","black"
"ASV_1943","module_0","grey"
"ASV_1964","module_0","grey"
"ASV_1961","module_0","grey"
"ASV_1978","module_0","grey"
"ASV_2243","module_0","grey"
"ASV_2320","module_2","blue"
"ASV_2257","module_8","pink"
"ASV_2390","module_0","grey"
"ASV_1793","module_5","green"
"ASV_2049","module_6","red"
"ASV_2013","module_6","red"
"ASV_2202","module_2","blue"
"ASV_1960","module_0","grey"
"ASV_2134","module_0","grey"
"ASV_1826","module_0","grey"
"ASV_1942","module_0","grey"
"ASV_2158","module_5","green"
"ASV_2250","module_2","blue"
"ASV_2314","module_0","grey"
"ASV_1983","module_0","grey"
"ASV_2233","module_0","grey"
"ASV_1821","module_0","grey"
"ASV_2010","module_6","red"
"ASV_2017","module_7","black"
