"gene_id","module_name","module_color"
"ASV_1005","module_2","blue"
"ASV_667","module_3","brown"
"ASV_652","module_8","pink"
"ASV_753","module_1","turquoise"
"ASV_840","module_0","grey"
"ASV_670","module_1","turquoise"
"ASV_810","module_0","grey"
"ASV_714","module_1","turquoise"
"ASV_692","module_1","turquoise"
"ASV_890","module_4","yellow"
"ASV_691","module_1","turquoise"
"ASV_675","module_1","turquoise"
"ASV_727","module_7","black"
"ASV_678","module_0","grey"
"ASV_860","module_0","grey"
"ASV_723","module_6","red"
"ASV_934","module_4","yellow"
"ASV_684","module_0","grey"
"ASV_716","module_7","black"
"ASV_947","module_4","yellow"
"ASV_818","module_0","grey"
"ASV_855","module_2","blue"
"ASV_773","module_1","turquoise"
"ASV_790","module_0","grey"
"ASV_703","module_1","turquoise"
"ASV_690","module_0","grey"
"ASV_736","module_1","turquoise"
"ASV_804","module_0","grey"
"ASV_1013","module_4","yellow"
"ASV_742","module_1","turquoise"
"ASV_926","module_5","green"
"ASV_976","module_1","turquoise"
"ASV_729","module_6","red"
"ASV_744","module_1","turquoise"
"ASV_889","module_1","turquoise"
"ASV_1903","module_4","yellow"
"ASV_752","module_0","grey"
"ASV_758","module_0","grey"
"ASV_781","module_0","grey"
"ASV_712","module_1","turquoise"
"ASV_666","module_5","green"
"ASV_847","module_1","turquoise"
"ASV_1130","module_2","blue"
"ASV_741","module_0","grey"
"ASV_817","module_1","turquoise"
"ASV_916","module_2","blue"
"ASV_809","module_1","turquoise"
"ASV_1380","module_4","yellow"
"ASV_864","module_0","grey"
"ASV_740","module_0","grey"
"ASV_997","module_2","blue"
"ASV_950","module_4","yellow"
"ASV_743","module_1","turquoise"
"ASV_820","module_1","turquoise"
"ASV_964","module_2","blue"
"ASV_1039","module_4","yellow"
"ASV_1202","module_4","yellow"
"ASV_745","module_0","grey"
"ASV_734","module_0","grey"
"ASV_971","module_0","grey"
"ASV_788","module_0","grey"
"ASV_1326","module_2","blue"
"ASV_910","module_1","turquoise"
"ASV_972","module_2","blue"
"ASV_2275","module_2","blue"
