,R_201006_1,R_201010_1,R_221002_1,R_211007_1,R_211010_1,R_221010_1,R_221012_1,R_221007_1,R_211006_1,C_201008_1,C_201004_1,C_201002_1,C_201000_1,C_211001_1,C_211000_1,C_211003_1,C_211004_1,C_211002_1,R_201006_3,R_201010_3,R_221002_3,R_211007_3,R_211006_3,R_211010_3,R_221010_3,R_221012_3,R_221007_3,C_201008_3,C_201004_3,C_201002_3,C_201000_3,C_211001_3,C_211000_3,C_211003_3,C_211004_3,C_211002_3,R_201010_6,R_221002_6,R_211007_6,R_211006_6,R_211010_6,R_221010_6,R_221012_6,R_221007_6,R_201006_6,C_201008_6,C_201004_6,C_201002_6,C_201000_6,C_211001_6,C_211000_6,C_211003_6,C_211004_6,C_211002_6,R_201010_9,R_201006_9,R_211006_9,R_221010_9,R_221012_9,R_221007_9,R_221002_9,R_211007_9,R_211010_9,C_201008_9,C_201004_9,C_201002_9,C_201000_9,C_211001_9,C_211000_9,C_211003_9,C_211004_9,C_211002_9
AA,2.70060481492072,1.47882176692968,0.638670378363055,-0.0518437871644259,1.17440118174046,0.936469799727081,0.868332924779129,1.1843203435242,0.418029026260327,1.69700633124161,2.52561231767934,0.718171497404405,1.85662448160355,1.48021405506157,1.4329374865775,0.619381695672292,1.85631580788543,0.302201224582551,2.56680724770557,2.31329606771895,1.14115254011206,0.174826856935934,2.10259270811122,1.75934318043225,2.21686857134928,1.84323902206403,1.21503722842093,1.85192983012232,1.68996435401976,1.36133875033341,1.11252222182803,0.619142035976672,1.8832661881815,1.02916011419358,2.22669987393273,2.44630088259308,1.42612832894273,1.15845425316923,2.07135221378385,1.71303998337644,1.50918790227521,3.50864550272391,2.16951284114323,3.3873329498743,2.5005853249973,2.08704858486289,2.34910097183869,3.622384546052,3.03790180508038,2.93991559139513,2.38577938372018,2.60912992257122,1.97444417141911,2.66319528796793,1.35572020794446,2.39846467739553,1.73761425942502,1.78563963609066,2.23702810085674,1.83207612325008,1.59380241629399,1.44301697346363,1.87142607516219,3.72653701118462,2.75570236842648,2.62090599086056,3.26796027523394,3.18478529801822,2.89282052844394,1.71366605330697,2.52369285425012,2.16664428254886
PA,1.15744392849106,0.503138903978672,0.0958551580038505,-0.0411967557262366,-0.00488598627133963,0.28714044834983,0.250210465737973,0.0351189177762148,0.000778252188652795,0.585739224476777,0.672258897139572,0.1747707793285,0.837187023153026,0.503328908339619,0.322097910722097,0.261287518833373,1.56604437888851,-0.0130021270971697,0.838402635547004,0.819476457152018,0.397605576506542,-0.0107600150249669,1.11585919808546,0.402113226070009,0.721498645114581,0.68619413411005,0.636711891264828,0.869631900401574,0.672258897139572,0.534368168833242,0.324557962625964,0.141752732207756,0.441828352112553,0.376601825959995,0.591024557473818,0.646656050065561,0.345677919414728,0.498258709892254,0.705203449189765,0.790663733172388,0.563024501432998,1.52410599794121,0.908725201298519,1.53461271692825,0.626848992748941,0.80938447767987,0.755600187771655,1.16344132797561,1.17656176591786,0.83505103277644,0.745272236068601,0.797127425089803,0.747054491578581,0.757000424813625,0.342346507390693,1.04957821195562,0.598591267573349,0.444877688716311,0.845295755093751,0.97472689376747,0.488558954793377,0.37312153741564,0.412182315606235,1.37667694952901,0.986559637684611,1.03605750163381,1.61000023691454,0.966988773342768,0.916189405538847,0.539560244190657,0.812067831705509,0.674000700023875
IBA,0.15588987276573,0.00376955859328779,0.0166500305134395,-0.000241784167168677,0.00534590478191992,0.0140961666825844,0.121865362000177,0.0482234181037078,0.0106806584285153,0.0623942086697282,0.127701094899958,0.00383271863368918,0.0994312646961874,0.106782223834462,0.0694689315512467,0.0347053103276876,0.106295723261218,0.00675286203967659,0.193642620696082,0.0608817725239436,0.0733695325076467,0.0118180556370373,0.222769829123469,0.0776415536236073,0.0555631169807747,0.115220404665912,0.100603254501065,0.110703412182501,0.090664038873499,0.10623033778317,0.0620363627177818,0.0475638753485494,0.104196946925255,0.0619690938733425,0.0523593341451339,0.0480958809861393,0.0760519433315626,0.0902843166832093,0.0900257025756904,0.123278689802146,0.106429828224508,0.0747181031380955,0.0892732231370801,0.0993866469910351,0.127866881428152,0.189266373022697,0.0978432172121216,0.0255189532367392,0.090406978649619,0.107929931151199,0.199621546849519,0.151468315868489,0.0623010791736326,0.100250220732865,0.0658475710750564,0.176153608548998,0.0491422909517407,0.12340839393004,0.0691031505814268,0.146689946775181,0.0749864146988427,0.0747307735802625,0.0723071215057196,0.062597857541078,0.0412976935724661,0.0504427429766958,0.00371022758762492,0.112642648358206,0.134748195675193,0.0625203516181064,0.121637917897956,0.103290305987398
BA,0.888094938336784,0.144108148963735,0.211062348925846,-0.000356528897019592,0.428798007711927,0.41157648918113,0.45267910447257,0.182276920812786,0.238267677450464,0.351866846372604,0.588719296841837,0.134826895619815,0.383031642486977,0.386506288791104,0.179645938391752,0.0742516592199347,0.377615617005825,-0.00200402693007296,0.445554833512691,0.234673046472102,0.434078448196101,0.0244735668301846,0.839562168329439,0.290802802708176,0.178208730816117,0.491544903049048,0.436545685411764,0.453671847012889,0.418351744749933,0.526389704613092,0.269799549938089,0.068381149289624,0.331633257932248,0.15202400198941,0.222948194271924,0.333630490458919,0.331248517562497,0.380147036900783,0.397774998322115,0.589191504521029,0.436173981261314,0.695668497147423,0.474232899090838,0.655590927086008,0.780854440039161,0.518359218994113,0.409601953065934,0.623958344535295,0.457180493318014,0.470930887499247,0.606537458687585,0.505948915558831,0.384587784021118,0.522682377451935,0.274697589529355,0.610538758758928,0.370837985849438,0.439578962725507,0.626727742117622,0.748649560899719,0.308959913660583,0.401460555540514,0.347792912536217,0.661340510034733,0.491791653832864,0.561217336323966,0.762412480978287,0.597089425962294,0.641744238630249,0.411832325354039,0.570207911464072,0.51119082765568
IVA,0.14431314792824,-0.00408600009003923,0.0203753066777902,-0.000111586160485094,0.00908188475859939,0.0167535991033757,0.0985927299251284,0.0243066075841205,0.0169123483323666,0.0387910536517746,0.143121743792969,0.000774151093130823,0.0997757196515734,0.093177925097639,0.0703909086537878,0.0330511437919501,0.127372666737896,0.00431123485409214,0.137182633134418,0.0527423263654656,0.073767112192204,0.0111369116854489,0.216779440624435,0.0904386674686257,0.0489890901169195,0.114543133374174,0.0908594217417806,0.121730199411501,0.108032105202315,0.113849104113065,0.055679115005565,0.0328210945819528,0.0983985464458192,0.0518883378798079,0.0506683468951729,0.0371200322152488,0.076837336578472,0.101338721618297,0.0799773234028721,0.124471231960758,0.11488533016916,0.0670496371211106,0.0893154228456286,0.106975008332,0.135884092126595,0.176280524636773,0.0830607437444832,0.0202452522785086,0.0780235994418501,0.0771558485670099,0.188308631340095,0.108718846517154,0.056824947698395,0.0964535058843161,0.0673977325901676,0.164928951366958,0.0361716315643349,0.105912513695404,0.0734651439306121,0.165193524817074,0.0718779924980203,0.082338524954863,0.0656150718487085,0.0527134382918251,0.0325005698637299,0.0457379968751663,0.00177115598787318,0.0939364302808721,0.131296408902894,0.0608417208802663,0.12178508484997,0.101798889301954
VA,0.216857073450333,0.0297552618811443,0.00124221385390225,-0.00404021772981733,0.00166867360185217,0.0906991909167242,0.134126391855053,0.0537465450915473,0.00146540303148594,0.0537943880670633,0.0634589502648343,0.0365215535008342,0.0474815782910724,0.0710401047953035,0.0453008269614408,0.0234717357859604,0.0348293886298425,-0.00399176128156532,0.0527651450711566,0.0382271759779138,0.0144063820296572,0.00944419665971631,0.147668883682002,0.00563389320813176,0.031204402229697,0.121237054952762,0.0753842000557663,0.12288572633198,0.059757628572071,0.107463552612132,0.0620195473843153,0.0172883867861141,0.067152828726576,0.0366528913841681,0.0346879400808228,0.0256692759555565,0.068032110679871,0.0953308478967887,0.0518449744407936,0.0965364160024749,0.125525339574008,0.105490109523891,0.0764006376558685,0.244757237126649,0.133812996433573,0.118765688295604,0.0570671212292934,0.0653553501396878,0.063357283449446,0.121380214830335,0.173970923900851,0.069304003301339,0.0685499131859104,0.120329275472164,0.0627194893669586,0.11234747718307,0.0354547076502324,0.0885688238848473,0.112871481269774,0.144816823403643,0.0791493934765762,0.0759481924299092,0.0544350612322835,0.132521701549004,0.0818231938394112,0.0888227930479399,0.0356695470627176,0.091747284541528,0.131873258443979,0.0528516123434216,0.0993108070359352,0.0863837368871546
HA,0.0098079204216492,0.00693684420963873,0.00282566189635293,0.00246299554365662,0.00673174328788538,0.0143336584207126,0.00763622656290837,0.00525347204631016,0.00311655456248501,0.0118323440625994,0.0158076803561523,0.0105703325408365,0.0099393267799551,0.00319511203045351,0.00321502348186499,0.00361802293321618,0.00335239693286855,0.00229022815040005,0.0112907839597205,0.00712614593790315,0.00509872983467479,0.00300478115432574,0.0148367032226066,0.00339239921436873,0.0033798239001361,0.0092727082426587,0.00463552359143252,0.0113590897419383,0.0255251690737263,0.00940297188320589,0.0212658801877766,0.0032795264173588,0.00402646877111968,0.0132747002069627,0.00586609403856724,0.00431534920278832,0.0145321734086783,0.0265297976896698,0.00516382953352434,0.0210444585144304,0.0265211722489446,0.00382478281447281,0.00449360718729022,0.0333719934705916,0.0483673286179002,0.0193549977129857,0.00605210646585761,0.00349766184250699,0.00358417134767513,0.0335436073429505,0.0477731910396189,0.00663061512525178,0.012601178164581,0.030580704909592,0.021567238869895,0.00389004828092118,0.00374692269423861,0.0101416021351463,0.00250442639218813,0.0229616307855367,0.0267036280403092,0.0337680316037235,0.00485369124916937,0.00334801514267309,0.0049048095748778,0.0119901302464697,0.00347383459203896,0.019115488397832,0.0337068488277497,0.0038652883301324,0.00660468723093427,0.0079011703561957
